names,Politicians,Gender
Karen Mcdougal,Dmitry Peskov,Male
Ken Ward,Ashok Choudhary,Male
Elaine Mcmillion,Richard Carmona,Male
David Boucher,John Holdren,Male
Booth Goodwin,Anne Gorsuch,Female
Kate Sheppard,Dick Durbin,Male
Robert Byrd,Jim Langevin,Male
Erin Brockovich,Judy Chu,Female
Julia Roberts,Steven Beshear,Male
Ed Masry,Donald Tusk,Male
Albert Finney,Margaret Beckett,Female
Theresa Dallavale,Michel Barnier,Male
Donna Jensen,Margot Wallstrom,Female
Kurt Potter,Carl Bildt,Male
Peter Coyote,John Fetterman,Male
Gina Gallego,Daniel Biss,Male
Ian Haney,Jared Bernstein,Male
Joe Walsh,Richard Seeborg,Male
Mark Sanford,Deb Fischer,Female
Ly Heinous,Rob Portman,Male
Muammar Gaddafi,Gary Bauer,Male
Michael Cohen,Sirajuddin Haqqani,Male
Elijah Cumming,Lawrence Bacow,Male
Jerrold Nadler,Bill Nelson,Male
Donna Edward,James Clyburn,Male
Jim Manley,Sherrilyn Ifill,Female
Harry Reid,Imran Khan,Male
Ted Kennedy,Adolf Hitler,Male
Paula Baker,Deb Haaland,Female
Gwen Irve,Janet Neff,Female
Leo Murray,Ahmet Davutoglu,Male
Owen Jones,Brian Schatz,Male
Ben Stewart,Sergei Kislyak,Male
Janey Godley,George Shultz,Male
David Mundell,Suu Kyi,Female
Nicola Sturgeon,Volodymyr Zelenskyy,Male
Kim Jongun,Amir Kabir,Male
Itsunori Onodera,Hamid Baeidinejad,Male
Vipin Narang,Melania Trump,Female
Chung Sungyoon,Laura Bush,Female
Greg Schultz,Nina Turner,Female
Colour Elizabeth,Jackie Kennedy,Female
Tom Steyer,Reuven Rivlin,Male
Newt Gingrich,Sarah Pitlyk,Female
John Miller,John Malcolm,Male
William Kristol,Mikhail Mishustin,Male
Graham Brady,Ben Sasse,Male
Andrea Leadsom,Jeff Merkley,Male
Sajid Javid,Lois Frankel,Female
Chris Grayling,Bob Dole,Male
Boris Johnson,Ferdinand Marcos,Male
Rory Stewart,Yulia Tymoshenko,Female
Michael Gove,Kostyantyn Gryshchenko,Male
